State,City,City_URL
AZ,Apache Junction,https://www.selfstorage.com/self-storage/arizona/apache-junction/
AZ,Avondale,https://www.selfstorage.com/self-storage/arizona/avondale/
AZ,Buckeye,https://www.selfstorage.com/self-storage/arizona/buckeye/
AZ,Casa Grande,https://www.selfstorage.com/self-storage/arizona/casa-grande/
AZ,Chandler,https://www.selfstorage.com/self-storage/arizona/chandler/
AZ,Gilbert,https://www.selfstorage.com/self-storage/arizona/gilbert/
AZ,Glendale,https://www.selfstorage.com/self-storage/arizona/glendale/
AZ,Green Valley,https://www.selfstorage.com/self-storage/arizona/green-valley/
AZ,Mesa,https://www.selfstorage.com/self-storage/arizona/mesa/
AZ,Peoria,https://www.selfstorage.com/self-storage/arizona/peoria/
AZ,Phoenix,https://www.selfstorage.com/self-storage/arizona/phoenix/
AZ,Queen Creek,https://www.selfstorage.com/self-storage/arizona/queen-creek/
AZ,Scottsdale,https://www.selfstorage.com/self-storage/arizona/scottsdale/
AZ,Tempe,https://www.selfstorage.com/self-storage/arizona/tempe/
AZ,Tucson,https://www.selfstorage.com/self-storage/arizona/tucson/
AZ,Surprise,https://www.selfstorage.com/self-storage/arizona/surprise/
AZ,Goodyear,https://www.selfstorage.com/self-storage/arizona/goodyear/
AZ,Oro Valley,https://www.selfstorage.com/self-storage/arizona/oro-valley/
AZ,Bullhead City,https://www.selfstorage.com/self-storage/arizona/bullhead-city/
AZ,Yuma,https://www.selfstorage.com/self-storage/arizona/yuma/
AZ,Flagstaff,https://www.selfstorage.com/self-storage/arizona/flagstaff/
AZ,Lake Havasu City,https://www.selfstorage.com/self-storage/arizona/lake-havasu-city/
AZ,Kingman,https://www.selfstorage.com/self-storage/arizona/kingman/
AZ,Fountain Hills,https://www.selfstorage.com/self-storage/arizona/fountain-hills/
AZ,Nogales,https://www.selfstorage.com/self-storage/arizona/nogales/
AZ,El Mirage,https://www.selfstorage.com/self-storage/arizona/el-mirage/
AZ,Litchfield Park,https://www.selfstorage.com/self-storage/arizona/litchfield-park/
AZ,Fort Mohave,https://www.selfstorage.com/self-storage/arizona/fort-mohave/
AZ,New River,https://www.selfstorage.com/self-storage/arizona/new-river/
AZ,Cave Creek,https://www.selfstorage.com/self-storage/arizona/cave-creek/
AZ,Sun City,https://www.selfstorage.com/self-storage/arizona/sun-city/
AZ,Arizona City,https://www.selfstorage.com/self-storage/arizona/arizona-city/
